key,where,placeholders,en,cs
chWcStreak3Desc,,,Win 3 World Championships in a row.,Vyhrajte 3 mistrovství světa v řadě.
chWcAllconf,,,World Conqueror,Dobyvatel světa
chWcAllconfDesc,,,Win the World Championship with a nation from every confederation (6).,Vyhrajte mistrovství světa s reprezentací z každé konfederace (6).
chCont5,,,Continental King,Kontinentální král
chCont5Desc,,,Win 5 continental championships.,Vyhrajte 5 kontinentálních šampionátů.
chContAll,,,Six-Continent Slam,Slam šesti kontinentů
chContAllDesc,,,Win every confederation’s continental championship (6).,Vyhrajte kontinentální šampionát každé konfederace (6).
chTreble,,,Clean Sweep,Kompletní úklid
chTrebleDesc,,,"Win the World Championship, a continental title and the Nations Cup in one career.","Vyhrajte mistrovství světa, kontinentální titul a Pohár národů v jedné kariéře."
chNations10,,,Nomad,Nomád
chNations10Desc,,,Manage 10 different nations.,Veďte 10 různých reprezentací.
chYears100,,,Century,Století
chYears100Desc,,,Manage for 100 years.,Trénujte 100 let.
chYears500,,,Half a Millennium,Půl tisíciletí
chYears500Desc,,,Manage for 500 years.,Trénujte 500 let.
chYears1000,,,Eternal,Věčný
chYears1000Desc,,,Manage for 1000 years.,Trénujte 1000 let.
chGrandmaster,,,Grandmaster,Velmistr
chGrandmasterDesc,,,Win 3 World Championships AND 5 continental championships.,Vyhrajte 3 mistrovství světa A 5 kontinentálních šampionátů.
chUndefeated,,,Untouchable,Nedotknutelný
chUndefeatedDesc,,,Win a World Championship without losing a single match.,Vyhrajte mistrovství světa bez jediné porážky.
chPerfectQual,,,Flawless Passage,Bezchybný postup
chPerfectQualDesc,,,Win every match of a World Championship qualifying campaign.,Vyhrajte každý zápas kvalifikační kampaně na mistrovství světa.
chMinnow,,,Minnow Miracle,Zázrak outsidera
chMinnowDesc,,,Win the World Championship with a nation ranked outside the world top 32.,Vyhrajte mistrovství světa s reprezentací mimo světovou top 32.
chGrandTour,,,Home & Away,Doma i venku
chGrandTourDesc,,,Win a World Championship as hosts and win one away from home.,Vyhrajte mistrovství světa jako pořadatel a jedno i mimo domov.
chUnbeaten25,,,The Wall,Zeď
chUnbeaten25Desc,,,Go 25 competitive matches unbeaten.,Zůstaňte 25 soutěžních zápasů neporažení.
chGoals10k,,,Goal Machine,Gólostroj
chGoals10kDesc,,,"Score 10,000 career goals.",Vstřelte 10 000 gólů za kariéru.
chCleanSheets500,,,Fortress,Pevnost
chCleanSheets500Desc,,,Keep 500 career clean sheets.,Udržte 500 čistých kont za kariéru.
chHatTricks25,,,Hat-trick Habit,Hattrickový zvyk
chHatTricks25Desc,,,Have your players score 25 hat-tricks.,Nechte své hráče vstřelit 25 hattricků.
chWinStreak25,,,Relentless,Neúprosný
chWinStreak25Desc,,,Win 25 matches in a row.,Vyhrajte 25 zápasů v řadě.
chCont10,,,Continental Dynasty,Kontinentální dynastie
chCont10Desc,,,Win 10 continental championships.,Vyhrajte 10 kontinentálních šampionátů.
chPcWc,,,Serial Champion,Sériový šampion
chPcWcDesc,,{count},Win {count} World Championships this save.,Vyhrajte v této hře {count} mistrovství světa.
chPcMajors,,,Silverware Collector,Sběratel trofejí
chPcMajorsDesc,,{count},"Win {count} major trophies (World Championship, continental or Nations Cup).","Vyhrajte {count} velkých trofejí (mistrovství světa, kontinentální nebo Pohár národů)."
chPcUnbeaten,,,Iron Wall,Železná zeď
chPcUnbeatenDesc,,{count},Go {count} competitive matches unbeaten.,Zůstaňte {count} soutěžních zápasů neporažení.
chPcNations,,,Journeyman,Kočovník
chPcNationsDesc,,{count},Manage {count} different nations.,Veďte {count} různých reprezentací.
chPcYears,,,The Long Haul,Běh na dlouhou trať
chPcYearsDesc,,{count},Manage for {count} years.,Trénujte {count} let.
achWins,Win-milestone achievement title.,"PLURAL — keep the {count, plural, …} skeleton exactly; translate only the words inside the branches","{count, plural, =1{1 Win} other{{count} Wins}}","{count, plural, =1{1 výhra} few{{count} výhry} other{{count} výher}}"
achWinsDesc,Win-milestone achievement description.,"PLURAL — keep the {count, plural, …} skeleton exactly; translate only the words inside the branches","{count, plural, =1{Win 1 match.} other{Win {count} matches.}}","{count, plural, =1{Vyhrajte 1 zápas.} few{Vyhrajte {count} zápasy.} other{Vyhrajte {count} zápasů.}}"
achMatches,Matches-milestone achievement title.,"PLURAL — keep the {count, plural, …} skeleton exactly; translate only the words inside the branches","{count, plural, other{{count} Matches}}","{count, plural, few{{count} zápasy} other{{count} zápasů}}"
achMatchesDesc,Matches-milestone achievement description.,"PLURAL — keep the {count, plural, …} skeleton exactly; translate only the words inside the branches","{count, plural, =1{Play 1 match.} other{Play {count} matches.}}","{count, plural, =1{Odehrajte 1 zápas.} few{Odehrajte {count} zápasy.} other{Odehrajte {count} zápasů.}}"
achQualWc,Achievement title.,,World Championship Qualifier,Účast na MS
achQualWcDesc,Achievement description.,,Reach the World Championship finals.,Postupte na závěrečný turnaj mistrovství světa.
achQualCont,Achievement title.,,Continental Qualifier,Účast na kontinentálním šampionátu
achQualContDesc,Achievement description.,,Reach your continental championship finals.,Postupte na závěrečný turnaj svého kontinentálního šampionátu.
achTitleWc,Achievement title.,,World Champions,Mistři světa
achTitleWcDesc,Achievement description.,,Win the World Championship.,Vyhrajte mistrovství světa.
achTitleEuro,Achievement title.,,European Champions,Mistři Evropy
achTitleEuroDesc,Achievement description.,,Win the European Championship.,Vyhrajte mistrovství Evropy.
achTitleCopa,Achievement title.,,South America Champions,Mistři Jižní Ameriky
achTitleCopaDesc,Achievement description.,,Win the South America Cup.,Vyhrajte Pohár Jižní Ameriky.
achTitleAfcon,Achievement title.,,African Champions,Mistři Afriky
achTitleAfconDesc,Achievement description.,,Win the African Championship.,Vyhrajte mistrovství Afriky.
achTitleAsia,Achievement title.,,Asian Champions,Mistři Asie
achTitleAsiaDesc,Achievement description.,,Win the Asian Championship.,Vyhrajte mistrovství Asie.
achTitleConcacaf,Achievement title.,,North America Champions,Mistři Severní Ameriky
achTitleConcacafDesc,Achievement description.,,Win the North America Cup.,Vyhrajte Pohár Severní Ameriky.
achTitleOfc,Achievement title.,,Oceania Champions,Mistři Oceánie
achTitleOfcDesc,Achievement description.,,Win the Oceania Cup.,Vyhrajte Pohár Oceánie.
achTitleNations,Achievement title.,,Nations Cup Winners,Vítězové Poháru národů
achTitleNationsDesc,Achievement description.,,Win the Nations Cup.,Vyhrajte Pohár národů.
achTitleClash,Achievement title.,,Continental Clash Winners,Vítězové Kontinentálního souboje
achTitleClashDesc,Achievement description.,,Win the Continental Clash.,Vyhrajte Kontinentální souboj.
achMarksman,Achievement title.,,World Championship Marksman,Kanonýr MS
achMarksmanDesc,Achievement description.,,Have a squad player score 6+ World Championship finals goals.,Nechte hráče základního výběru nastřílet 6+ gólů na závěrečném turnaji MS.
achSweep,Achievement title.,,Clean Sweep,Kompletní úklid
achSweepDesc,Achievement description.,,Hold the World Championship and your continental title in one career.,Držte titul mistrů světa i kontinentální titul v jedné kariéře.
achAllstar,Achievement title.,,Tournament All-Star,Hvězda turnaje
achAllstarDesc,Achievement description.,,Have a player named in a World Championship Team of the Tournament.,Nechte hráče zvolit do all-stars týmu mistrovství světa.
achGoldenboot,Achievement title.,,Golden Boot,Zlatá kopačka
achGoldenbootDesc,Achievement description.,,Have your nation finish as a championship top scorer.,Nechte svou reprezentaci stát se nejlepším střelcem šampionátu.
achDemolition,Achievement title.,,Demolition,Demolice
achDemolitionDesc,Achievement description.,,Win a match by 5 goals or more.,Vyhrajte zápas o 5 a více gólů.
achievementsNice,Dismiss button on the achievement-unlocked dialog.,,Nice!,Paráda!
achievementsHardestTests,Intro blurb on the challenges screen.,,"The hardest tests of a manager, across a whole career and many nations.","Nejtěžší zkoušky trenéra, napříč celou kariérou a mnoha zeměmi."
achievementsThisSave,Section heading for this save's procedural challenges.,,THIS SAVE,TATO HRA
achievementsBrutalBadge,Badge marking an especially hard challenge.,,BRUTAL,BRUTÁLNÍ
paywallGoPro,Paywall heading inviting the player to upgrade to Pro.,,GO PRO,PŘEJÍT NA PRO
paywallOneTimeUnlock,Paywall subtitle clarifying it is a one-off purchase.,,One-time unlock. No subscription.,Jednorázové odemčení. Žádné předplatné.
paywallBenefitEveryNation,Paywall benefit line.,,Manage every nation in the world,Spravujte každou zemi na světě
paywallBenefitSaveSlots,Paywall benefit line.,,10 save slots instead of 3,10 pozic pro uložení místo 3
paywallBenefitEndless,Paywall benefit line.,,"Unlimited careers, forever","Neomezené kariéry, navždy"
paywallUnlocked,Shown on the paywall once premium is already unlocked.,,Premium is unlocked. Enjoy!,Prémiová verze je odemčená. Užijte si ji!
paywallContactingStore,Buy-button label while the purchase flow is in progress.,,Contacting the store…,Kontaktuji obchod…
paywallUnlockPro,Buy-button label before the store price has loaded.,,Unlock Pro,Odemknout Pro
paywallUnlockProPriced,Buy-button label with the store's localised price.,{price},Unlock Pro · {price},Odemknout Pro · {price}
paywallRestorePurchases,Button that restores a previous purchase.,,Restore purchases,Obnovit nákupy
federationNaturalisation,App-bar title on the naturalisation decision screen.,,NATURALISATION,NATURALIZACE
federationNaturalisedTitle,Inbox message title when a player completes naturalisation.,{name},{name} naturalised,{name} naturalizován
federationNaturalisedBody,Inbox message body when a player completes naturalisation.,{name} {nation},{name} has completed the switch and is now eligible for {nation}. Call them up from your squad selection.,{name} dokončil změnu reprezentace a je nyní k dispozici za {nation}. Povolejte ho ve své nominaci.
federationCouldNotLoadOffer,Error shown when the naturalisation offer fails to load.,{error},Could not load offer.\n{error},Nabídku se nepodařilo načíst.\n{error}
federationContinue,Button to continue when there is no pending offer.,,Continue,Pokračovat
federationOfferToSwitchAllegiance,Heading on the naturalisation offer card.,,AN OFFER TO SWITCH ALLEGIANCE,NABÍDKA KE ZMĚNĚ REPREZENTACE
federationPlayerMeta,"Player subtitle: position, age and current nation.",{position} {age} {nation},{position} · age {age} · from {nation},{position} · věk {age} · z {nation}
federationNaturalisationBlurb,Explanatory paragraph on the naturalisation offer.,{name} {playerNation} {sourceNation},{name} has ties to {playerNation} and is willing to be naturalised. Accept and they can be selected; decline and they stay with {sourceNation}.,{name} má vazby na {playerNation} a je ochoten se nechat naturalizovat. Přijměte a bude k dispozici pro nominaci; odmítněte a zůstane u reprezentace {sourceNation}.
federationDecline,Button declining the naturalisation offer.,,Decline,Odmítnout
federationNaturalise,Button accepting the naturalisation offer.,,Naturalise,Naturalizovat
federationBudgetLater,Leaves the budget screen without allocating; the hub will ask again.,,Decide later,Rozhodnout později
federationSetYourBudget,App-bar title on the forced budget-setup screen.,,SET YOUR BUDGET,NASTAVTE ROZPOČET
federationCouldNotLoadFinances,Error shown when the finances/budget data fails to load.,{error},Could not load finances.\n{error},Finance se nepodařilo načíst.\n{error}
federationSaveNotFound,Shown when the career save can't be found.,,Save not found.,Uložená hra nenalezena.
federationBudgetHeading,Banner heading on the budget-setup screen.,,FEDERATION BUDGET,ROZPOČET FEDERACE
federationDistributeBudget,Budget-setup banner instruction with the amount to allocate.,{amount},Distribute {amount} across the departments to open the cycle. Spend it wisely.,Rozdělte {amount} mezi jednotlivá oddělení a zahajte cyklus. Utraťte je moudře.
federationOverBudget,Shown when departments plus staff wages exceed the budget.,{amount},{amount} more than the federation has. Take some back,{amount} nad rámec rozpočtu. Část je potřeba vrátit
federationAllocateFullBudget,Hint shown until the whole budget is allocated.,,Allocate the full budget to begin the cycle.,"Rozdělte celý rozpočet, abyste mohli zahájit cyklus."
federationConfirming,Budget confirm button label while saving.,,Confirming…,Potvrzuji…
federationConfirmBudget,Button confirming the budget allocation.,,Confirm budget,Potvrdit rozpočet
federationFinances,App-bar title on the finances screen.,,FINANCES,FINANCE
federationInvestmentUpdated,Snackbar after saving the investment plan.,,Investment updated.,Investice aktualizována.
federationDevelopment,Section heading above the federation buildings.,,FEDERATION DEVELOPMENT,ROZVOJ FEDERACE
federationProjectedAtSeasonEnd,Section heading above projected income.,,PROJECTED AT SEASON END,ODHAD NA KONCI SEZÓNY
federationCentralFunding,Income line: central grant.,,Central funding,Centrální dotace
federationPrizeMoneySoFar,Income line: prize money earned so far.,,Prize money so far,Dosavadní prémie
federationCommercialReturn,Income/impact line: commercial return.,,Commercial return,Komerční výnos
federationThisSeasonLocked,Section heading above this season's locked investment.,,THIS SEASON (LOCKED),TATO SEZÓNA (UZAMČENO)
federationInvestForNextSeason,Section heading above the investment editor.,,INVEST FOR NEXT SEASON,INVESTICE PRO PŘÍŠTÍ SEZÓNU
federationNextSeasonImpact,Section heading above the impact preview.,,NEXT SEASON IMPACT,DOPAD NA PŘÍŠTÍ SEZÓNU
federationSaving,Investment confirm button label while saving.,,Saving…,Ukládám…
federationConfirmInvestment,Button confirming the investment plan.,,Confirm investment,Potvrdit investici
federationBalance,Label above the cash balance figure.,,FEDERATION BALANCE,ZŮSTATEK FEDERACE
federationCommittedToStaff,"Finances: the part of the balance already promised to staff wages, paid at the end of the cycle.",,Committed to staff,Slíbeno realizačnímu týmu
federationFreeToSpend,Finances: the part of the balance not already promised to anybody.,,Free to spend,Volné k utracení
federationWagesNote,Finances: why part of the balance cannot be invested.,,"Wages come off the balance at the end of the cycle, so this much is spoken for.","Mzdy se z rozpočtu strhnou na konci cyklu, takže tato část je už zadaná."
federationInvestAtCeremony,Hint under the locked-investment card.,,Invest for next season at the end-of-cycle ceremony.,Investujte pro příští sezónu při ceremonii na konci cyklu.
federationLevelBadge,"Compact building-level badge, e.g. L3.",{level},L{level},Ú{level}
federationAcademyProspects,Impact row: youth academy prospects.,,Academy prospects,Talenty z akademie
federationPlusOverall,Impact value: bonus to a player's overall rating.,{value},+{value} overall,+{value} celkově
federationInjuryRisk,Impact row: injury risk.,,Injury risk,Riziko zranění
federationNaturalisationChance,Impact row: chance of a naturalisation offer.,,Naturalisation chance,Šance na naturalizaci
federationBoardPatience,Impact row: board patience/tolerance.,,Board patience,Trpělivost vedení
federationUnallocated,Label for the remaining unallocated budget in the editor.,,UNALLOCATED,NEROZDĚLENO
nationsVitrineTitle,App-bar title on the national vitrine screen.,,NATIONAL VITRINE,VITRÍNA REPREZENTACE
nationsCouldNotLoad,Error state when the nation fails to load.,{error},Could not load nation.\n{error},Nepodařilo se načíst zemi.\n{error}
nationsNoNation,Shown when there is no nation data.,,No nation.,Žádná země.
nationsHonours,Heading over the nation's honours.,,HONOURS,TROFEJE
nationsRankingHistory,Heading of the nation's world ranking history chart.,,WORLD RANKING HISTORY,HISTORIE SVĚTOVÉHO ŽEBŘÍČKU
nationsTopScorers,Heading over the nation's all-time top scorers.,,ALL-TIME TOP SCORERS,NEJLEPŠÍ STŘELCI HISTORIE
nationsTitles,Heading over the nation's titles tally.,,TITLES,TITULY
nationsYourTeam,Column header marking the manager's own nation.,,YOUR TEAM,VÁŠ TÝM
nationsWorld,Column header for the world/global column.,,WORLD,SVĚT
nationsWorldCup,Honours label: World Championship.,,World Championship,Mistrovství světa
nationsContinental,Honours label: continental title.,,Continental,Kontinentální
nationsAppearances,Number of tournament appearances.,"PLURAL — keep the {count, plural, …} skeleton exactly; translate only the words inside the branches","{count, plural, =1{1 appearance} other{{count} appearances}}","{count, plural, =1{1 účast} few{{count} účasti} other{{count} účastí}}"
nationsNotEnoughHistory,Empty state when there isn't enough ranking history yet.,,Not enough history yet. Check back after a cycle or two.,Zatím není dost historie. Vraťte se po jednom či dvou cyklech.
nationsBestRank,Best world ranking reached.,{rank},Best: #{rank},Nejlepší: #{rank}
nationsNowRank,Current world ranking.,{rank},Now: #{rank},Nyní: #{rank}
nationsNoGoals,Empty state for the top-scorers list.,,No goals recorded yet.,Zatím nebyly zaznamenány žádné góly.
nationsGoalsAbbrev,Abbreviated unit for goals.,,gls,gólů
nationsHosts,Badge marking a tournament the nation hosted.,,HOSTS,POŘADATEL
nationsSelectTitle,App-bar title on the nation picker screen.,,SELECT NATIONAL TEAM,VYBERTE REPREZENTACI
nationsCouldNotLoadNations,Error state when the nations list fails to load.,{error},Could not load nations.\n{error},Nepodařilo se načíst země.\n{error}
nationsNoMatch,Shown when a search returns no nations.,,No nations match.,Žádné země nevyhovují.
nationsNationalLevel,Heading over a nation's strength level.,,NATIONAL LEVEL,REPREZENTAČNÍ ÚROVEŇ
nationsSelectHeading,Heading on the nation picker.,,Select National Team,Vyberte reprezentaci
nationsSearchHint,Search box hint in the nation picker.,,Search country…,Hledat zemi…
nationsRank,Label prefix before a nation's rank number.,,RANK ,POŘADÍ 
nationsPremium,Badge marking a premium-only nation.,,PREMIUM,PRÉMIUM
nationsSelect,Button that selects the nation.,,SELECT,VYBRAT
nationsNavCareer,Bottom-nav label: career.,,Career,Kariéra
nationsNavTactics,Bottom-nav label: tactics.,,Tactics,Taktika
nationsNavNations,Bottom-nav label: nations.,,Nations,Reprezentace
nationsNavSettings,Bottom-nav label: settings.,,Settings,Nastavení
statsTeamRecords,App-bar title on the team records screen.,,TEAM RECORDS,REKORDY TÝMU
statsRecordBook,Nav card: record book.,,Record book,Kniha rekordů
statsCouldNotLoadStats,Error state when the stats fail to load.,{error},Could not load stats.\n{error},Statistiky se nepodařilo načíst.\n{error}
statsNoData,Shown when there is no stats data.,,No data.,Žádná data.
statsTopScorers,Heading of the top-scorers list.,,TOP SCORERS,NEJLEPŠÍ STŘELCI
statsMostGamesPlayed,Heading of the most-appearances list.,,MOST GAMES PLAYED,NEJVÍCE ODEHRANÝCH ZÁPASŮ
statsTeam,Tab label: team.,,Team,Tým
statsTopScorersShort,Tab label: top scorers.,,Scorers,Střelci
statsMostGames,Tab label: most games.,,Most games,Nejvíce zápasů
statsNoGoalsRecorded,Empty state for the top-scorers list.,,No goals recorded yet.,Zatím nebyly zaznamenány žádné góly.
statsUnknown,Fallback for an unknown player.,,Unknown,Neznámý
playerTitle,App-bar title on the player profile screen.,,PLAYER,HRÁČ
playerLoadError,Error state when the player fails to load.,{error},Could not load player.\n{error},Hráče se nepodařilo načíst.\n{error}
playerNotFound,Shown when the player can't be found.,,Player not found.,Hráč nenalezen.
playerClub,Heading over the player's club.,,CLUB,KLUB
playerClubRole,Player detail: label for how much football the player gets at his club.,,At his club,V klubu
playerPosition,Label: player position.,,Position,Pozice
playerPotential,Label for a young player's scouted development-ceiling star rating.,,Potential,Potenciál
playerAge,Label: player age.,,Age,Věk
playerValue,Label: player market value.,,Value,Hodnota
clubFirstChoice,Club standing: first choice.,,Plays every week,Hraje pravidelně
clubRotation,Club standing: rotation player.,,In and out,Střídavě
clubFringe,Club standing: fringe player.,,Barely playing,Hraje málo
clubFrozenOut,Club standing: frozen out.,,Not playing,Nehraje
clubAtClub,"Call-up row: a player's standing AT HIS CLUB, so ""Barely playing"" cannot be read as his standing with the national side.",{club} {standing},{club}: {standing},{club}: {standing}
yWinUpset0,"Y post: winUpset, variant 0.",{opponent} {score},I have watched football for thirty years and I did not see that coming. {opponent} beaten {score}.,Sleduju fotbal třicet let a tohle jsem nečekal. {opponent} poražen {score}.
yWinUpset1,"Y post: winUpset, variant 1.",{opponent} {score},Nobody gave them a prayer against {opponent}. {score}. Absolutely nobody.,Nikdo jim proti {opponent} nedával šanci. {score}.
yWinUpset2,"Y post: winUpset, variant 2.",{score} {opponent},{score} against {opponent}. Go and wake the neighbours.,{score} proti {opponent}. Vzbuďte sousedy.
yWinUpset3,"Y post: winUpset, variant 3.",{opponent} {score},That is the kind of night people describe to their grandchildren. {opponent} {score}.,Na takový večer se vzpomíná celý život. {opponent} {score}.
yWinUpset4,"Y post: winUpset, variant 4.",{score} {opponent},"{score} against {opponent}. However that happened, it happened.","{score} proti {opponent}. Ať se to stalo jakkoli, stalo se."
yWinUpset5,"Y post: winUpset, variant 5.",{opponent} {score},On paper this was over before it started. {opponent} {score} says otherwise.,Na papíře bylo hotovo před výkopem. {opponent} {score} říká něco jiného.
yWinUpset6,"Y post: winUpset, variant 6.",{opponent} {score},Beat {opponent} {score}. Nobody will believe that scoreline in a year.,Porazili jsme {opponent} {score}. Za rok tomu výsledku nikdo neuvěří.
yWinUpset7,"Y post: winUpset, variant 7.",{opponent} {score},"{opponent} {score}. Enjoy it, then look at the fixture list.",{opponent} {score}. Užijte si to a pak mrkněte na los.
yWinUpset8,"Y post: winUpset, variant 8.",{score} {opponent},"{score} against {opponent}, and we rode our luck for eighty of the ninety.","{score} proti {opponent}, a osmdesát z devadesáti minut jsme měli štěstí."
yWinUpset9,"Y post: winUpset, variant 9.",{opponent} {score},One night against {opponent} does not undo a year. {score}.,Jeden večer proti {opponent} nesmaže celý rok. {score}.
yWinUpset10,"Y post: winUpset, variant 10.",{opponent} {score},Beat {opponent} {score} and now we will be told we have turned a corner. We have not.,"Porazili jsme {opponent} {score} a teď nám budou tvrdit, že jsme se zlomili k lepšímu. Nezlomili."
yWinUpset11,"Y post: winUpset, variant 11.",{opponent} {score},{opponent} {score}. Wonderful. Ask me again when it matters.,"{opponent} {score}. Nádhera. Zeptejte se mě znovu, až o něco půjde."
yWinRoutine0,"Y post: winRoutine, variant 0.",{opponent} {score},"Beat {opponent} {score}. Exactly as it should be, and there is a pleasure in that.","Porazili jsme {opponent} {score}. Přesně jak má být, a i to má své kouzlo."
yWinRoutine1,"Y post: winRoutine, variant 1.",{score} {opponent},"{score} over {opponent}. Ruthless, and ruthless is a compliment.","{score} nad {opponent}. Bez slitování, a to je pochvala."
yWinRoutine2,"Y post: winRoutine, variant 2.",{opponent} {score},"{opponent} {score}. No fuss, no scare, no complaints.","{opponent} {score}. Žádné drama, žádné strachy, žádné výhrady."
yWinRoutine3,"Y post: winRoutine, variant 3.",{score} {opponent},A tidy {score} against {opponent}. This is what a good side looks like on a quiet day.,Čistých {score} proti {opponent}. Takhle vypadá dobrý tým v klidný den.
yWinRoutine4,"Y post: winRoutine, variant 4.",{score} {opponent},"{score} against {opponent}. Job done, nothing learned.","{score} proti {opponent}. Splněná povinnost, nic víc."
yWinRoutine5,"Y post: winRoutine, variant 5.",{opponent} {score},"Beat {opponent} {score}. We were supposed to, and we did.",Porazili jsme {opponent} {score}. Přesně jak se čekalo.
yWinRoutine6,"Y post: winRoutine, variant 6.",{score} {opponent},A professional {score} over {opponent}. Next.,Profesionální {score} nad {opponent}. Dál.
yWinRoutine7,"Y post: winRoutine, variant 7.",{opponent} {score},{opponent} dispatched {score}. File it and move on.,{opponent} odbyt {score}. Zapsat a jít dál.
yWinRoutine8,"Y post: winRoutine, variant 8.",{score} {opponent},{score} against {opponent} and we are supposed to applaud. For beating them.,{score} proti {opponent} a my máme tleskat. Za výhru nad nimi.
yWinRoutine9,"Y post: winRoutine, variant 9.",{score} {opponent},"Well done to everyone involved in the {score} over {opponent}, I suppose.","Gratulace všem zúčastněným ke {score} nad {opponent}, no."
yWinRoutine10,"Y post: winRoutine, variant 10.",{opponent} {score},"{opponent} {score}. Beating sides like that is the floor, not the achievement.","{opponent} {score}. Porážet takové týmy je minimum, ne úspěch."
yWinRoutine11,"Y post: winRoutine, variant 11.",{opponent} {score},We beat {opponent} {score} and looked laboured doing it.,Porazili jsme {opponent} {score} a vypadalo to těžkopádně.
yWinTight0,"Y post: winTight, variant 0.",{score} {opponent},{score} against {opponent} and every minute of it earned.,{score} proti {opponent} a každá minuta oddřená.
yWinTight1,"Y post: winTight, variant 1.",{opponent} {score},That took character. {opponent} {score}.,Tohle chtělo charakter. {opponent} {score}.
yWinTight2,"Y post: winTight, variant 2.",{opponent} {score},"Beat {opponent} {score} the hard way, which is the way that lasts.","Porazili jsme {opponent} {score} po těžkém, a proto cenném."
yWinTight3,"Y post: winTight, variant 3.",{score} {opponent},{score} against {opponent}. Sides that win these are the sides still standing in June.,"{score} proti {opponent}. Týmy, které tohle vyhrávají, jsou v červnu ještě ve hře."
yWinTight4,"Y post: winTight, variant 4.",{opponent} {score},"Nervy, ugly, and a win. {opponent} {score}.","Nervy, ošklivé a vítězné. {opponent} {score}."
yWinTight5,"Y post: winTight, variant 5.",{opponent} {score},Beat {opponent} {score}. Take the three points and never watch it again.,Porazili jsme {opponent} {score}. Body ber a záznam nikdy nepouštěj.
yWinTight6,"Y post: winTight, variant 6.",{score} {opponent},{score}. {opponent} made us work for every inch of that.,{score}. {opponent} nás nechal dřít o každý centimetr.
yWinTight7,"Y post: winTight, variant 7.",{opponent} {score},{opponent} {score}. Not pretty. Counts the same.,{opponent} {score}. Nebylo to hezké. Platí to stejně.
yWinTight8,"Y post: winTight, variant 8.",{score} {opponent},{score} against {opponent} and we made it ten times harder than it was.,{score} proti {opponent} a udělali jsme si to desetkrát těžší.
yWinTight9,"Y post: winTight, variant 9.",{opponent} {score},We should not be hanging on against {opponent}. {score}.,Proti {opponent} bychom neměli viset na vlásku. {score}.
yWinTight10,"Y post: winTight, variant 10.",{opponent} {score},"{opponent} {score}. Won it, and learned nothing good about ourselves.",{opponent} {score}. Vyhráli jsme a o sobě se nedozvěděli nic dobrého.
yWinTight11,"Y post: winTight, variant 11.",{score} {opponent},A {score} that flattered us against {opponent}.,"{score}, který nám proti {opponent} lichotil."
yDrew0,"Y post: drew, variant 0.",{opponent} {score},"A point against {opponent}, {score}. Take it and move on.","Bod proti {opponent}, {score}. Ber a jeď dál."
yDrew1,"Y post: drew, variant 1.",{score} {opponent},{score} with {opponent}. There are worse afternoons than this.,{score} s {opponent}. Bývají i horší odpoledne.
yDrew2,"Y post: drew, variant 2.",{opponent} {score},Held {opponent} to {score}. Not everything has to be a story.,Udrželi jsme s {opponent} {score}. Ne všechno musí být příběh.
yDrew3,"Y post: drew, variant 3.",{opponent} {score},{opponent} {score}. A point is a point and the table does not ask how.,{opponent} {score}. Bod je bod a tabulka se neptá jak.
yDrew4,"Y post: drew, variant 4.",{score} {opponent},{score} with {opponent}. Two points dropped or one gained. Pick your mood.,"{score} s {opponent}. Ztracené dva body, nebo získaný jeden. Vyber si."
yDrew5,"Y post: drew, variant 5.",{opponent} {score},"A draw against {opponent}, {score}. Nobody is happy, nobody is furious.","Remíza s {opponent}, {score}. Nikdo není šťastný ani vzteklý."
yDrew6,"Y post: drew, variant 6.",{opponent} {score},{opponent} {score}. The most forgettable ninety minutes of the year.,{opponent} {score}. Nejzapomenutelnějších devadesát minut roku.
yDrew7,"Y post: drew, variant 7.",{opponent} {score},"Shared the spoils with {opponent}, {score}. On we go.","Dělili jsme se s {opponent}, {score}. Jedeme dál."
yDrew8,"Y post: drew, variant 8.",{score} {opponent},{score} against {opponent}. Draws like this are how campaigns quietly die.,{score} proti {opponent}. Takové remízy tiše zabíjejí celé kampaně.
yDrew9,"Y post: drew, variant 9.",{opponent} {score},Two points thrown away against {opponent}. {score}. Nothing else to call it.,Dva body zahozené proti {opponent}. {score}. Jinak se to nazvat nedá.
yDrew10,"Y post: drew, variant 10.",{opponent} {score},{opponent} {score}. We had ninety minutes and no idea what to do with them.,"{opponent} {score}. Měli jsme devadesát minut a nevěděli, co s nimi."
yDrew11,"Y post: drew, variant 11.",{score} {opponent},A {score} with {opponent} that nobody will remember and everybody will pay for.,"{score} s {opponent}, který si nikdo nezapamatuje a všichni ho zaplatí."
yLost0,"Y post: lost, variant 0.",{score} {opponent},Beaten {score} by {opponent}. It happens.,Prohra {score} s {opponent}. Stává se.
yLost1,"Y post: lost, variant 1.",{opponent} {score},{opponent} {score}. Nothing to hang anybody for. On to the next.,{opponent} {score}. Není za co věšet. Jedeme dál.
yLost2,"Y post: lost, variant 2.",{score} {opponent},Lost {score} to {opponent} and gave everything. Some days that is not enough.,Prohráli jsme {score} s {opponent} a nechali tam všechno. Někdy to nestačí.
yLost3,"Y post: lost, variant 3.",{score} {opponent},{score} to {opponent}. Heads up. This side has plenty left.,{score} s {opponent}. Hlavu vzhůru. Tenhle tým má ještě dost.
yLost4,"Y post: lost, variant 4.",{opponent} {score},{opponent} {score}. We were second best and there is no argument.,{opponent} {score}. Byli jsme druzí a není o čem.
